caregiver_id,day,alpha,beta
N1,1,480,960
N1,2,480,960
N1,3,480,960
N1,4,480,960
N1,5,480,960
N1,6,480,960
N1,7,480,960
N2,1,480,960
N2,2,480,960
N2,3,480,960
N2,4,480,960
N2,5,480,960
N2,6,480,960
N2,7,480,960
N3,1,480,960
N3,2,480,960
N3,3,480,960
N3,4,480,960
N3,5,480,960
N3,6,480,960
N3,7,480,960
N4,1,480,960
N4,2,480,960
N4,3,480,960
N4,4,480,960
N4,5,480,960
N4,6,480,960
N4,7,480,960
N5,1,480,960
N5,2,480,960
N5,3,480,960
N5,4,480,960
N5,5,480,960
N5,6,480,960
N5,7,480,960
N6,1,480,960
N6,2,480,960
N6,3,480,960
N6,4,480,960
N6,5,480,960
N6,6,480,960
N6,7,480,960
N7,1,480,960
N7,2,480,960
N7,3,480,960
N7,4,480,960
N7,5,480,960
N7,6,480,960
N7,7,480,960
N8,1,480,960
N8,2,480,960
N8,3,480,960
N8,4,480,960
N8,5,480,960
N8,6,480,960
N8,7,480,960
N9,1,480,960
N9,2,480,960
N9,3,480,960
N9,4,480,960
N9,5,480,960
N9,6,480,960
N9,7,480,960
N10,1,480,960
N10,2,480,960
N10,3,480,960
N10,4,480,960
N10,5,480,960
N10,6,480,960
N10,7,480,960
