patient_id,caregiver_id,compat
P1,N1,0
P1,N2,1
P1,N3,0
P1,N4,0
P1,N5,1
P1,N6,0
P1,N7,0
P1,N8,1
P1,N9,0
P1,N10,1
P2,N1,1
P2,N2,0
P2,N3,0
P2,N4,1
P2,N5,0
P2,N6,0
P2,N7,1
P2,N8,0
P2,N9,0
P2,N10,0
P3,N1,0
P3,N2,1
P3,N3,0
P3,N4,0
P3,N5,1
P3,N6,0
P3,N7,0
P3,N8,1
P3,N9,0
P3,N10,1
P4,N1,0
P4,N2,0
P4,N3,1
P4,N4,0
P4,N5,0
P4,N6,1
P4,N7,0
P4,N8,0
P4,N9,1
P4,N10,0
P5,N1,1
P5,N2,0
P5,N3,0
P5,N4,1
P5,N5,0
P5,N6,0
P5,N7,1
P5,N8,0
P5,N9,0
P5,N10,0
P6,N1,1
P6,N2,0
P6,N3,0
P6,N4,1
P6,N5,0
P6,N6,0
P6,N7,1
P6,N8,0
P6,N9,0
P6,N10,0
P7,N1,0
P7,N2,0
P7,N3,1
P7,N4,0
P7,N5,0
P7,N6,1
P7,N7,0
P7,N8,0
P7,N9,1
P7,N10,0
P8,N1,1
P8,N2,0
P8,N3,0
P8,N4,1
P8,N5,0
P8,N6,0
P8,N7,1
P8,N8,0
P8,N9,0
P8,N10,0
P9,N1,0
P9,N2,1
P9,N3,0
P9,N4,0
P9,N5,1
P9,N6,0
P9,N7,0
P9,N8,1
P9,N9,0
P9,N10,1
P10,N1,0
P10,N2,0
P10,N3,1
P10,N4,0
P10,N5,0
P10,N6,1
P10,N7,0
P10,N8,0
P10,N9,1
P10,N10,0
P11,N1,1
P11,N2,0
P11,N3,0
P11,N4,1
P11,N5,0
P11,N6,0
P11,N7,1
P11,N8,0
P11,N9,0
P11,N10,0
P12,N1,0
P12,N2,0
P12,N3,1
P12,N4,0
P12,N5,0
P12,N6,1
P12,N7,0
P12,N8,0
P12,N9,1
P12,N10,0
P13,N1,1
P13,N2,0
P13,N3,0
P13,N4,1
P13,N5,0
P13,N6,0
P13,N7,1
P13,N8,0
P13,N9,0
P13,N10,0
P14,N1,1
P14,N2,0
P14,N3,0
P14,N4,1
P14,N5,0
P14,N6,0
P14,N7,1
P14,N8,0
P14,N9,0
P14,N10,0
P15,N1,1
P15,N2,0
P15,N3,0
P15,N4,1
P15,N5,0
P15,N6,0
P15,N7,1
P15,N8,0
P15,N9,0
P15,N10,0
P16,N1,0
P16,N2,1
P16,N3,0
P16,N4,0
P16,N5,1
P16,N6,0
P16,N7,0
P16,N8,1
P16,N9,0
P16,N10,1
P17,N1,0
P17,N2,1
P17,N3,0
P17,N4,0
P17,N5,1
P17,N6,0
P17,N7,0
P17,N8,1
P17,N9,0
P17,N10,1
P18,N1,1
P18,N2,0
P18,N3,0
P18,N4,1
P18,N5,0
P18,N6,0
P18,N7,1
P18,N8,0
P18,N9,0
P18,N10,0
P19,N1,1
P19,N2,0
P19,N3,0
P19,N4,1
P19,N5,0
P19,N6,0
P19,N7,1
P19,N8,0
P19,N9,0
P19,N10,0
P20,N1,1
P20,N2,0
P20,N3,0
P20,N4,1
P20,N5,0
P20,N6,0
P20,N7,1
P20,N8,0
P20,N9,0
P20,N10,0
P21,N1,0
P21,N2,0
P21,N3,1
P21,N4,0
P21,N5,0
P21,N6,1
P21,N7,0
P21,N8,0
P21,N9,1
P21,N10,0
P22,N1,0
P22,N2,1
P22,N3,0
P22,N4,0
P22,N5,1
P22,N6,0
P22,N7,0
P22,N8,1
P22,N9,0
P22,N10,1
P23,N1,1
P23,N2,0
P23,N3,0
P23,N4,1
P23,N5,0
P23,N6,0
P23,N7,1
P23,N8,0
P23,N9,0
P23,N10,0
P24,N1,0
P24,N2,0
P24,N3,1
P24,N4,0
P24,N5,0
P24,N6,1
P24,N7,0
P24,N8,0
P24,N9,1
P24,N10,0
P25,N1,1
P25,N2,0
P25,N3,0
P25,N4,1
P25,N5,0
P25,N6,0
P25,N7,1
P25,N8,0
P25,N9,0
P25,N10,0
P26,N1,1
P26,N2,0
P26,N3,0
P26,N4,1
P26,N5,0
P26,N6,0
P26,N7,1
P26,N8,0
P26,N9,0
P26,N10,0
P27,N1,0
P27,N2,0
P27,N3,1
P27,N4,0
P27,N5,0
P27,N6,1
P27,N7,0
P27,N8,0
P27,N9,1
P27,N10,0
P28,N1,0
P28,N2,0
P28,N3,1
P28,N4,0
P28,N5,0
P28,N6,1
P28,N7,0
P28,N8,0
P28,N9,1
P28,N10,0
P29,N1,0
P29,N2,0
P29,N3,1
P29,N4,0
P29,N5,0
P29,N6,1
P29,N7,0
P29,N8,0
P29,N9,1
P29,N10,0
P30,N1,1
P30,N2,0
P30,N3,0
P30,N4,1
P30,N5,0
P30,N6,0
P30,N7,1
P30,N8,0
P30,N9,0
P30,N10,0
